filename,name,address,tx_count,balance
1.sol,KittyCore,0x06012c8cf97bead5deae237070f9587f8e7a266d,2325384,163.7835024209779
2.sol,DAO,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,173444,43.080498003858224
3.sol,Fishbank,0xa98ad92a642570b83b369c4eb70efefe638bc895,39611,0.06
4.sol,LANDProxy,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,13075,0.0
5.sol,KycToken,0xb57756d92bd170a66b4f361eafbfd13e625372c2,5240,0.0
6.sol,FighterCore,0x87d598064c736dd0c712d329afcfaa0ccc1921a1,4939,2.2236651297453705
7.sol,WarToken,0xda9c03dfd4d137f926c3cf6953cb951832eb08b2,3335,0.0
8.sol,HeroCore,0x8a1190c9a21ccc195a943ec9ee434620461b46b2,3255,2.8308512428221007
9.sol,EggStorage,0xfcad2859f3e602d4cfb9aca35465a618f9009f7b,3079,0.0
10.sol,CryptoLandmarks,0x99474b0a565dd095555636d85803cdca7276b931,2844,0.0
11.sol,ETHero,0x4fece400c0d3db0937162ab44bab34445626ecfe,2219,0.0
12.sol,TulipCore,0x995020804986274763df9deb0296b754f2659ca1,2145,93.80417504506661
13.sol,ChainbreakersItemsERC721,0x0111ac7e9425c891f935c4ce54cf16db7c14b7db,1912,0.0
14.sol,Core,0xa01a45394D98a67Be493bCfc62a308847E6EB7fD,1367,0.16
15.sol,EtherScrolls,0xf15666603540fb9218b85567ee833455cb586dc0,1290,0.011036412099453791
16.sol,FlowerCore,0xffd0b80c0a070cde7a11034fb4cf393637be0a61,1208,0.0
17.sol,SignalToken,0x36f16a0d35b866cdd0f3c3fa39e2ba8f48b099d2,1143,0.0
18.sol,FlowerCore,0x8bc67d00253fd60b1afcce88b78820413139f4c6,1050,0.0
19.sol,PlanetCryptoToken,0x8c55b18e6bb7083b29102e57c34d0c3124c0a952,1012,0.80910568485754
20.sol,Curio,0xc22faf9f506e63e6f4f0088d15e9197b27c77ac7,906,0.0
21.sol,DopeRaiderCore,0x3bcbd2093e991363b98cf0f51d40fecd94a55a0d,896,0.0
22.sol,HashKingsPlanet,0x57cdee8a9658f364553fe89ba200252b00ad05d9,811,0.0
23.sol,CSLottery,0xB487D45F2d2A93b84e8f8C5074e256896bbf7D9c,808,0.804724573618428
24.sol,PixelCons,0x5536b6aadd29eaf0db112bb28046a5fad3761bd4,706,0.0
25.sol,CryptoBeastiesToken,0xffdf17652cca46eb98a214cb3e413c8661241e49,669,0.0
26.sol,CodexRecordProxy,0x8853b05833029e3cf8d3cbb592f9784fa43d2a79,575,0.0
27.sol,KnownOriginDigitalAsset,0xdde2d979e8d39bb8416eafcfc1758f3cab2c9c72,568,0.0
28.sol,AetherCore,0x31d4c5be1082a88f2abafea549b6c189c2cf057f,516,1.975
29.sol,EthergotchiOwnershipV2,0x449f5c827cf7726cc5f181090aa147ca5fb88a40,380,0.0
30.sol,BCFMain,0x6abf810730a342add1374e11f3e97500ee774d1f,334,0.0
31.sol,ITTicket,0x6b31a2ef5986d283332e4a3a608adb3c09ffdd13,334,21.28
32.sol,ExtensionAsset,0xdceaf1652a131F32a821468Dc03A92df0edd86Ea,285,0.0
33.sol,StarCards,0xcddcc63883683a3e6d5537d0b47074c3accc790e,257,0.201
34.sol,Fishbank,0xe8bbf054b788c98d9993be5513254d6b64a1ba97,256,0.09
35.sol,CardMigration,0x6EbeAf8e8E946F0716E6533A6f2cefc83f60e8Ab,252,0.0
36.sol,CryptoLandmarks,0xEB35A696Af4cf2E18203781DB1c7607ADBaBC251,217,0.061044736842105575
37.sol,DragonStorage,0x960f401AED58668ef476eF02B2A2D43B83C261D8,212,0.0
38.sol,Cybercon,0x61B81103e716B611Fff8aF5A5Dc8f37C628efb1E,171,0.0
39.sol,LibraryToken,0x6bE0d2AeA0922e2B198C6c92950bb102dA990342,169,0.04040944744131797
40.sol,CryptoMotors,0x30a2fA3c93Fb9F93D1EFeFfd350c6A6BB62ba000,121,0.0
41.sol,CryptantCrabNFT,0xecd6b4a2f82b0c9fb283a4a8a1ef5adf555f794b,108,0.0
42.sol,ERC721dAppCaps,0x0C15D535F8c21d6f3A03dd46ae23A07e5d897C80,105,0.0
43.sol,CoinGeckoXmas2018NFToken,0xfd98724f1c8a36c7be155cddce51b456eb1eb08d,103,0.0
44.sol,FabgToken,0x6Be9894BB589E7D7656A7805040144bbF157BbAF,99,0.0
45.sol,CryptoBeauty,0x26b5bf54e03bb6d42c27ef4364f72a2bf1eff3d2,90,0.023072313748359812
46.sol,CryptoKaiju,0x102c527714ab7e652630cac7a30abb482b041fd0,77,0.0
47.sol,MortgageManager,0x9abf1295086afa0e49c60e95c437aa400c5333b8,66,0.0
48.sol,MICRODAO,0x25af8d824b3b078a589e47418a95b4388d1552f4,63,5.21851998
49.sol,SuMain,0xe9e3f9cfc1a64dfca53614a0182cfad56c10624f,62,0.0
50.sol,ShamelessPromoToken,0xebc8b98193782d61a4a54bbb2ec5138e4b5e40c5,60,0.0
51.sol,FlowerCore,0x6a2b112e5314a3462a3df18c0b73a2de14fd6b06,58,0.0
52.sol,ImpItem,0xf766b3e7073f5a6483e27de20ea6f59b30b28f87,56,0.0
53.sol,Document,0x862Adb061A28dF5b314Bd7753E5caCa27De94509,54,0.0
54.sol,Jingle,0x5af7af54e8bc34b293e356ef11fffe51d6f9ae78,46,0.0
55.sol,ERC721Pumpkin,0x064ac3656da6861905a7ed68a0a03d88706a5d02,39,0.0
56.sol,Jingle,0x5b6660ca047cc351bfedca4fc864d0a88f551485,39,0.0
57.sol,Nifties,0xf9b6e3e9ae83dcadd2bdd422fa810ffd34492264,33,0.0
58.sol,HashLand,0x74723561089ad53f8dc166bdf14955ed9bb7e37e,32,0.0
59.sol,Certificates,0x585b28d86e15ca772b322fcbfbc7dadb91e497fe,31,0.0
60.sol,EtheremonAdventureItem,0xbfde6246df72d3ca86419628cac46a9d2b60393c,30,0.0
61.sol,CSCNFTFactory,0x4d3814d4da8083b41861dec2f45b4840e8b72d68,27,0.0
62.sol,BMBYToken,0xf97187f566eC6374cB08470CCe593fF0Dd36d8A9,27,0.267
63.sol,InterfaceToken,0x7f737b66921d18b008dc9c3a9b933a3bf559f1bc,24,0.0
64.sol,Mokens,0xaaf401585b72c678afc09036510d3ef759bdaf7e,24,0.125
65.sol,CCNFTFactory,0x69b47e2bc52fa28fef7bae5a89a0421126bd56c9,23,0.0
66.sol,GenesisBadge,0x7f188ae034f8cca9d5f6a03d35fa02302060df82,19,0.0
67.sol,Nfties,0x4646Dea7e251fefd74e3FAC63c63BE6e6Efc721c,17,0.0
68.sol,SuMain,0xe264d16bcba50925d0e1a90398596ec010306e14,17,1.0
69.sol,CubegonNFT,0x4bd6a870c71a36d06d03f0b5fb6cac012ca13397,16,0.0
70.sol,PlanetCryptoToken,0x003Ad9c18BC279f40632E7e5De2fd213931215d0,15,0.0
71.sol,ETHAccess,0x499b08a56d921ddf932bc78fe882134c4a1b0b87,14,1.2
72.sol,EtherScrolls,0x992d6d699d3f7c627a9be1a5f6020a05ecb86200,14,0.0
73.sol,ENSNFT,0xb52511f49f3ed76ad1f77998985ee452f29ba0fd,13,0.0
74.sol,Bloccelerator,0xF4d9000456bC1E8922A18f3D58c1036aA1Afbbc2,13,0.0
75.sol,SuMain,0x6731560e455537c9f088ea02a47a0ecfa28a9231,12,0.0
76.sol,MintableNonFungibleToken,0x246fc23e1c0dff674283582b2c71c492f47ab62c,11,0.0
77.sol,GanTokenMain,0x043bbf1af93df1220dacc94b9ca58b789bf20dc3,11,0.0
78.sol,WarshipMain,0x6e67e6baa0c2176435eb036c1f17fbca216d8f39,11,0.0
79.sol,CryptoBeastiesToken,0x3347521c33bcb5f60a03bb8505a2ad7693342a77,11,0.0
80.sol,CryptoMus,0xb628c2398b1a00659b69111bc98760d311cf156a,11,0.0
81.sol,SuperToken,0x826bfd7c76625d9d28f5465dd1dd31a67c676332,10,0.0
82.sol,KnownOriginDigitalAsset,0xb77e25acbf8e75a91bf468120c5789534a4dce52,10,0.0
83.sol,LANDRegistry,0x036570162bc64a4e1201f1ba4a3fcd87e35b0b2f,10,0.0
