filename,name,address,tx_count,balance
1.sol,EtherDelta,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,10192815,25.0
2.sol,Exchange,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,3997352,40.0
3.sol,KittyCore,0x06012c8cf97bead5deae237070f9587f8e7a266d,2325384,163.7835024209779
4.sol,SaleClockAuction,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,779290,9.503296995532747
5.sol,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,412131,5.19855184
6.sol,Hourglass,0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,343157,47.0
7.sol,Goo,0x57b116da40f21f91aec57329ecb763d29c1b2355,301817,50.844308158297416
8.sol,TokenStore,0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,211411,814.1131003700818
9.sol,Etheroll,0x048717ea892f23fb0126f00640e2b18072efd9d2,201313,6.56130578068547
10.sol,Etheroll,0xD91E45416bfbBEc6e2D1ae4aC83b788A21Acf583,176677,1.1289638932496076
11.sol,DAO,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,173444,43.080498003858224
12.sol,DentacoinToken,0x08d32b0da63e2C3bcF8019c9c5d849d7a9d791e6,157061,1.375369847877531
13.sol,WETH9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,145190,433.0
14.sol,FoMo3Dlong,0xa62142888aba8370742be823c1782d17a0389da1,130537,23.0
15.sol,NumeraireBackend,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,113483,1.6217809754789025
16.sol,LocalEthereumEscrows,0x09678741bd50c3e74301f38fbd0136307099ae5d,111668,22.4824201002549
17.sol,CandyContract,0xfb0f7189b354660e649ae14261a9fe0e8febf369,111428,1.47606703223109
18.sol,EVNToken,0xd780ae2bf04cd96e577d3d014762f831d97129d0,102190,2.0
19.sol,Dex2,0x7600977Eb9eFFA627D6BD0DA2E5be35E11566341,92412,1.0
20.sol,blockcdn,0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,88858,3.909256428543184
21.sol,Token,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,75832,24.47565974097422
22.sol,EtherFlip,0xE5a04D98538231b0fAb9ABa60cd73cE4fF3039DF,73792,737.8770992520249
23.sol,Dice2Win,0xd1ceeeefa68a6af0a5f6046132d986066c7f9426,66193,180.37805242765086
24.sol,SingularDTVToken,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,65945,104.29128005722707
25.sol,SmartBillions,0x6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c,65525,1.0
26.sol,Dex,0x9a2d163ab40f88c625fd475e807bbc3556566f80,65408,3.0
